track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,playlist_id,playlist_name
1fXHTDYsJiFOjVWITaFp1j,Ride Home,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,308xacxloeHSt2tzLCWli0,326885,2017-01-23,59,0.613,0.551,4,-8.79,1,0.0332,0.235,0.000672,0.175,0.432,114.11,326886,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
5NwgVC2bFG0JJmaljJUFGG,Kahit Sa Panaginip,4qFxP3qN9GsnZDOkAE6x2m,December Avenue,3SiDmMK93YHXjMTO5RGfkF,231581,2018-10-28,33,0.494,0.857,11,-7.059,1,0.0399,0.162,0.0,0.318,0.557,75.981,231581,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
6HxGR4H7Qfe4uR68veOW3g,"Balisong (Theme Song of the Movie ""100 Tula Para Kay Stella"")",1YlibpAvhJBbMZMBwN1KGv,The Juans,46UHFVzn8tzFwYq5dEJVyr,229034,2017-07-07,0,0.337,0.494,9,-4.607,1,0.0307,0.327,0.0,0.135,0.228,158.194,229035,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
7aOgo3FixklrEF0FWCgPLX,Ipagpatawad Mo,7lIVjtsgz0y1oRQFBAVNzq,Mayonnaise,0c5f8sRmmPQvhNYXwIxqIL,242453,2008-07-02,0,0.291,0.755,5,-4.95,0,0.05,0.0621,0.0,0.0836,0.457,145.343,242453,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
0zFYa7NIpKhmom8zrZx7Ga,Why Can't It Be,0xNog7ZdcTq9sJFiIXJJTH,Kaye Cal,77ZkVwowfs27AEXl6GHiET,248760,2017-03-17,6,0.563,0.314,3,-9.241,1,0.0312,0.612,1.14e-05,0.124,0.272,127.791,248760,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
4e0rMS4w6Ssim4K4W11J8I,Di Na Mababawi,1tXFYQZSAswt4JLB42lpye,Sponge Cola,2yCy36hxBEoYLtzZXmytFk,193506,2009-01-01,0,0.821,0.186,11,-14.572,0,0.0598,0.663,0.0,0.0513,0.486,113.096,193507,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
6p6DiqAPwMX7vdrSo30wgo,'Di Na Muli,09Xydf4dlkr29dH99DmsvQ,Janine,4u7nLwDVRz7z0mxweMbVZ6,207018,2018-04-06,0,0.413,0.561,1,-3.092,1,0.0517,0.192,0.0,0.0914,0.352,88.69,207019,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
04Fqdekvehn72zJ4lJbEH7,Bitaw Na,5HIZU0JzM0AgfItVOm4E08,This Band,6dS94m5s8bnluYm3V22Kyu,283616,2018-06-22,0,0.412,0.275,6,-9.222,0,0.029,0.558,3.46e-05,0.093,0.0583,132.439,283617,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
6FT35oVqQZFiTPL9BLmHOH,Tayo Lang Ang May Alam,2inqTOq06scVP6BkEyHBsp,Peryodiko,4zpGOdK4bqkJ5GgKlSUOma,292473,2014-10-01,50,0.48,0.385,9,-7.26,1,0.0319,0.445,0.00474,0.12,0.191,73.109,292473,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
6VqZS3Wmf53pbfDBVEYvnP,Hindi Tayo Pwede,1YlibpAvhJBbMZMBwN1KGv,The Juans,2m8pNsbpAvJYe7rbRpkhFF,303937,2018-10-26,1,0.283,0.281,11,-11.414,1,0.035,0.437,0.00114,0.102,0.127,79.919,303937,59QIXpZaBFTJvnZvn2TJzZ,HUGOT OPM
