track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
1tkg4EHVoqnhR6iFEXb60y,What You Know Bout Love,0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,7e7t0MCrNDcJZsPwUKjmOc,160000,2020-07-03,84,0.7090000000000001,0.5479999999999999,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.5429999999999999,83.995,5TZkls9cEOzWDR6qCxwDot,HipHop 2021
1tkg4EHVoqnhR6iFEXb60y,What You Know Bout Love,0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,7e7t0MCrNDcJZsPwUKjmOc,160000,2020-07-03,84,0.7090000000000001,0.5479999999999999,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.5429999999999999,83.995,6aPDvVJbmO41jCpTolXLmn,HipHop 2022
3GXGulgD6nRkeukgZlRSLM,Swerve,1qsu7k3SpHI6nUQwB7zNQ0,StarterKit Duke,0T9San0P7gv1eM9QDCUxzL,120058,2021-11-14,24,0.741,0.685,1,-6.091,1,0.21,0.525,0.0,0.0729,0.215,85.514,38iI10NJQ5HY0ilCItMz5r,Rap 2022 | Rap & HipHop Hits 2022
3GXGulgD6nRkeukgZlRSLM,Swerve,1qsu7k3SpHI6nUQwB7zNQ0,StarterKit Duke,0T9San0P7gv1eM9QDCUxzL,120058,2021-11-14,24,0.741,0.685,1,-6.091,1,0.21,0.525,0.0,0.0729,0.215,85.514,6aPDvVJbmO41jCpTolXLmn,HipHop 2022
7t3ESY54LvpHtNvWX6kcOF,Up,0EXYY9Veb0XDpWnQRLfotW,Malachi Grant,2AWxaAozKvkVG867iVNwFr,223000,2021-08-04,25,0.662,0.912,8,-3.899,1,0.39,0.0578,0.0,0.617,0.6629999999999999,160.075,38iI10NJQ5HY0ilCItMz5r,Rap 2022 | Rap & HipHop Hits 2022
7t3ESY54LvpHtNvWX6kcOF,Up,0EXYY9Veb0XDpWnQRLfotW,Malachi Grant,2AWxaAozKvkVG867iVNwFr,223000,2021-08-04,25,0.662,0.912,8,-3.899,1,0.39,0.0578,0.0,0.617,0.6629999999999999,160.075,6aPDvVJbmO41jCpTolXLmn,HipHop 2022
7sO5G9EABYOXQKNPNiE9NR,Ric Flair Drip (with Metro Boomin),4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,0MV1yCXcNNQBfwApqAVkH0,172800,2017-10-30,82,0.88,0.428,9,-8.28,1,0.206,0.149,5.05e-05,0.114,0.3329999999999999,100.007,38iI10NJQ5HY0ilCItMz5r,Rap 2022 | Rap & HipHop Hits 2022
7sO5G9EABYOXQKNPNiE9NR,Ric Flair Drip (with Metro Boomin),4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,0MV1yCXcNNQBfwApqAVkH0,172800,2017-10-30,82,0.88,0.428,9,-8.28,1,0.206,0.149,5.05e-05,0.114,0.3329999999999999,100.007,5TZkls9cEOzWDR6qCxwDot,HipHop 2021
7ytr4eFQrY8OwqAPBB19Ho,Da Network,4Pq6U8P6qQh8gO6wUQaoJu,Niccolo Shiloh Aka Sshabazz,268cihgG0Sir7EIvk5O5CF,212301,2021-09-07,32,0.7,0.867,2,-6.172999999999999,1,0.103,0.246,0.0189,0.276,0.763,140.03,38iI10NJQ5HY0ilCItMz5r,Rap 2022 | Rap & HipHop Hits 2022
7ytr4eFQrY8OwqAPBB19Ho,Da Network,4Pq6U8P6qQh8gO6wUQaoJu,Niccolo Shiloh Aka Sshabazz,268cihgG0Sir7EIvk5O5CF,212301,2021-09-07,32,0.7,0.867,2,-6.172999999999999,1,0.103,0.246,0.0189,0.276,0.763,140.03,6aPDvVJbmO41jCpTolXLmn,HipHop 2022
6HNeqC9r5aVqn3M0lkTZxU,Champion,52AEbo6GReYQCeh57Ag3Se,Sbeats,6QEdh6okiHyf8NiJ4xJr8G,183682,2021-11-05,25,0.664,0.7879999999999999,8,-7.053999999999999,1,0.175,0.0681,2.0600000000000003e-05,0.384,0.314,93.987,38iI10NJQ5HY0ilCItMz5r,Rap 2022 | Rap & HipHop Hits 2022
